,width,height,channels,im_size,ctime,mtime,img_files,img_folders,img_subfolders
0,1300,1300,1,3383838,1515131214.7275624,1511274026.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1510.tif
1,1300,1300,1,3383838,1515131210.4355597,1511274012.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img338.tif
2,1300,1300,1,3383838,1515131211.9995608,1511274005.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1468.tif
3,1300,1300,1,3383838,1515131223.5595682,1511274001.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img857.tif
4,1300,1300,1,3383838,1515131222.8075676,1511274003.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img86.tif
5,1300,1300,1,3383838,1515131215.503563,1511274006.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1276.tif
6,1300,1300,1,3383838,1515131223.479568,1511274002.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1582.tif
7,1300,1300,1,3383838,1515131223.0555677,1511274031.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img127.tif
8,1300,1300,1,3383838,1515131213.975562,1511274031.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1550.tif
9,1300,1300,1,3383838,1515131211.9235606,1511274013.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1447.tif
10,1300,1300,1,3383838,1515131213.0635614,1511274005.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img894.tif
11,1300,1300,1,3383838,1515131215.6915631,1511274005.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img741.tif
12,1300,1300,1,3383838,1515131210.0635595,1511274007.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img522.tif
13,1300,1300,1,3383838,1515131210.1115596,1511274002.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1151.tif
14,1300,1300,1,3383838,1515131211.9635608,1511274002.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img586.tif
15,1300,1300,1,3383838,1515131211.7275605,1511274005.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img469.tif
16,1300,1300,1,3383838,1515131218.3395648,1511274001.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img996.tif
17,1300,1300,1,3383838,1515131215.263563,1511274017.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img62.tif
18,1300,1300,1,3383838,1515131222.8515677,1511274007.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1378.tif
19,1300,1300,1,3383838,1515131216.947564,1511274005.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1397.tif
20,1300,1300,1,3383838,1515131221.4195669,1511274007.0,AOI_2_Vegas_Roads_Test_Public,PAN,PAN_AOI_2_Vegas_img1215.tif
