,img_id,geojson_path,linestring,lane_number,paved,road_type
0,img738,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img738.geojson,"[[-115.2302976, 36.13671528660451], [-115.22952784383, 36.13671025795], [-115.22729652201, 36.13669630622], [-115.2267876, 36.136693062408064]]",2,1,5
1,img877,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img877.geojson,"[[-115.21677903434421, 36.2020076999], [-115.21653120296, 36.20204532875], [-115.2162576, 36.20204635733246]]",2,1,5
2,img53,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img53.geojson,"[[-115.30063772772, 36.20984613003], [-115.30064947187, 36.21009275718], [-115.30059075112, 36.21052729073]]",2,1,5
3,img1314,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1314.geojson,"[[-115.1811576, 36.19171156051], [-115.18064714207, 36.19171156051], [-115.17973837809, 36.19171300528], [-115.17941908264, 36.19171445006], [-115.17937573937, 36.19168844409], [-115.1793555125, 36.1916162053], [-115.17935465221849, 36.1914776999]]",2,1,5
4,img1292,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1292.geojson,"[[-115.18455111488, 36.25784723817], [-115.18457671816, 36.25626357747], [-115.18459021905, 36.2556844554], [-115.18461415547957, 36.2546577]]",2,1,3
5,img72,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img72.geojson,"[[-115.29718105464111, 36.1809476998], [-115.29721272385, 36.18080518836], [-115.29716514942, 36.18064660695], [-115.2969876, 36.180597439416715]]",2,1,5
6,img1356,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1356.geojson,"[[-115.17423820788, 36.20168703379], [-115.17424075485786, 36.2020076999]]",2,1,5
7,img1633,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1633.geojson,"[[-115.1530776, 36.19934394467643], [-115.15285968737, 36.19934248565]]",2,1,5
8,img1090,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1090.geojson,"[[-115.19907847035279, 36.2476377], [-115.19906185877, 36.24796104346], [-115.19905232166, 36.24814627936]]",2,1,5
9,img256,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img256.geojson,"[[-115.27907383044327, 36.1423376998], [-115.27907386031, 36.14232651461], [-115.27907428656, 36.14216688593], [-115.27907585152, 36.14158080792], [-115.27906422193, 36.14124650071], [-115.27906196544, 36.14116561433]]",2,1,3
10,img592,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img592.geojson,"[[-115.24231050887, 36.18493596337], [-115.24160318855, 36.18495837675], [-115.24162013454313, 36.1844576998]]",2,1,5
11,img368,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img368.geojson,"[[-115.265643922, 36.18871027356], [-115.26563328848995, 36.1879676998]]",2,1,6
12,img141,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img141.geojson,"[[-115.29095513471, 36.2031160552], [-115.29124484654, 36.20244006091], [-115.29143014412567, 36.2020076999]]",2,1,5
13,img1443,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1443.geojson,"[[-115.16742791827, 36.22424816727], [-115.16727238639, 36.22424665559], [-115.1671176, 36.22424912822435]]",2,1,5
14,img450,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img450.geojson,"[[-115.25631539991, 36.15027601883], [-115.25637674944, 36.15025201552], [-115.25636696493, 36.15014667246], [-115.25630275363, 36.15011436621]]",1,1,5
15,img1449,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1449.geojson,"[[-115.1671176, 36.24681210551876], [-115.1706276, 36.24670996123942]]",2,1,2
16,img402,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img402.geojson,"[[-115.2653976, 36.200059847265564], [-115.26472511517, 36.20016908338], [-115.2644901684, 36.20020724732]]",2,1,5
17,img1055,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1055.geojson,"[[-115.19911365954, 36.12816213966], [-115.1987076, 36.12817150371685]]",2,1,5
18,img558,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img558.geojson,"[[-115.24437085018, 36.19737916438], [-115.24437996979816, 36.1984976999]]",5,1,1
19,img853,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img853.geojson,"[[-115.22321499487, 36.25866933253], [-115.2232776, 36.258668296840774]]",2,1,5
20,img499,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img499.geojson,"[[-115.25150587827463, 36.2160476999], [-115.25151254829, 36.21493380719], [-115.2513576, 36.214922571613414]]",2,1,6
21,img1253,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1253.geojson,"[[-115.18594039245, 36.25844723871], [-115.18594290454213, 36.2581677]]",2,1,5
22,img623,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img623.geojson,"[[-115.2373176, 36.15377904904474], [-115.23744335928, 36.15378767958], [-115.23746373828, 36.15394780029]]",2,1,6
23,img65,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img65.geojson,"[[-115.2990503474222, 36.1528676998], [-115.29917487594, 36.15293961743], [-115.29964894502, 36.15320063761], [-115.29990008876, 36.15332620948], [-115.30027962621, 36.15348423251], [-115.3004976, 36.15356326880842]]",2,1,5
24,img990,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img990.geojson,"[[-115.20622134849759, 36.1809476998], [-115.20622146399, 36.1809296253], [-115.20622259796, 36.18075215928], [-115.2062215548, 36.18039087933], [-115.20621963975, 36.18021080819], [-115.20621682061, 36.18005790802], [-115.20619356582, 36.17908854864]]",2,1,2
25,img178,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img178.geojson,"[[-115.28757774557, 36.22333419191], [-115.2864576, 36.223333972794926]]",2,1,5
26,img355,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img355.geojson,"[[-115.26864074216, 36.14547233702], [-115.26858867774, 36.14492655832]]",2,1,6
27,img654,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img654.geojson,"[[-115.23453585673, 36.12442529688], [-115.23453226608, 36.12402314415]]",2,1,5
28,img978,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img978.geojson,"[[-115.2069089641239, 36.1353176997], [-115.20692051771, 36.13618537421], [-115.20692607214, 36.13681996775], [-115.20692643625, 36.13705117686], [-115.20692676645, 36.13726085057]]",2,1,5
29,img553,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img553.geojson,"[[-115.24475374008, 36.17997515592], [-115.2447505979779, 36.1809476998]]",4,1,1
30,img1307,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1307.geojson,"[[-115.17957799185, 36.16731030446], [-115.18067156223, 36.16731030446]]",2,1,5
31,img1036,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1036.geojson,"[[-115.20540442845805, 36.1984976999], [-115.20539394819, 36.19872283417], [-115.20480762561, 36.19872858243], [-115.20481145239592, 36.1984976999]]",2,1,5
32,img403,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img403.geojson,"[[-115.2653976, 36.20298876684819], [-115.26528275666, 36.20286572041], [-115.26460423834018, 36.2020076999]]",2,1,5
33,img363,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img363.geojson,"[[-115.26814406642, 36.17096388454], [-115.26742001313, 36.17097669964]]",2,1,5
34,img832,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img832.geojson,"[[-115.2229057474561, 36.1844576998], [-115.22291010579, 36.18459934563], [-115.22289676519, 36.18531973764]]",2,1,5
35,img1303,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1303.geojson,"[[-115.1811576, 36.15326605381875], [-115.17897453928, 36.15326039022], [-115.1776476, 36.15325017250815]]",2,1,5
36,img245,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img245.geojson,"[[-115.28287959631, 36.22026439959], [-115.28291463412, 36.21965999028]]",1,1,6
37,img955,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img955.geojson,"[[-115.21048083719342, 36.1949876999], [-115.21047137084, 36.19553036493]]",2,1,5
38,img629,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img629.geojson,"[[-115.2405000932837, 36.1739276998], [-115.24071577821, 36.17399445942], [-115.2408276, 36.17405853248934]]",5,1,1
39,img130,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img130.geojson,"[[-115.29308319011, 36.16676443898], [-115.29289647635, 36.16566210962]]",2,1,6
40,img1113,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1113.geojson,"[[-115.19821855472, 36.18882672755], [-115.19827120924, 36.1887633163], [-115.19827120924, 36.18841066526], [-115.19820979517, 36.18832294964]]",1,1,5
41,img294,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img294.geojson,"[[-115.27327905911, 36.15315433237], [-115.2724176, 36.1531440219193]]",2,1,5
