,correct,img_names,img_folders,img_ids,subfolders
0,1,MUL-PanSharpen_AOI_2_Vegas_img1603.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1603,MUL-PanSharpen
1,1,MUL-PanSharpen_AOI_2_Vegas_img172.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img172,MUL-PanSharpen
2,1,MUL-PanSharpen_AOI_2_Vegas_img107.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img107,MUL-PanSharpen
3,1,MUL-PanSharpen_AOI_2_Vegas_img113.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img113,MUL-PanSharpen
4,1,MUL-PanSharpen_AOI_2_Vegas_img1588.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1588,MUL-PanSharpen
5,1,MUL-PanSharpen_AOI_2_Vegas_img425.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img425,MUL-PanSharpen
6,1,MUL-PanSharpen_AOI_2_Vegas_img208.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img208,MUL-PanSharpen
7,1,MUL-PanSharpen_AOI_2_Vegas_img1136.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1136,MUL-PanSharpen
8,1,MUL-PanSharpen_AOI_2_Vegas_img61.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img61,MUL-PanSharpen
9,1,MUL-PanSharpen_AOI_2_Vegas_img601.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img601,MUL-PanSharpen
10,1,MUL-PanSharpen_AOI_2_Vegas_img222.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img222,MUL-PanSharpen
11,1,MUL-PanSharpen_AOI_2_Vegas_img591.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img591,MUL-PanSharpen
12,1,MUL-PanSharpen_AOI_2_Vegas_img1319.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1319,MUL-PanSharpen
13,1,MUL-PanSharpen_AOI_2_Vegas_img1569.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1569,MUL-PanSharpen
14,1,MUL-PanSharpen_AOI_2_Vegas_img798.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img798,MUL-PanSharpen
15,1,MUL-PanSharpen_AOI_2_Vegas_img645.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img645,MUL-PanSharpen
16,1,MUL-PanSharpen_AOI_2_Vegas_img5.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img5,MUL-PanSharpen
17,1,MUL-PanSharpen_AOI_2_Vegas_img891.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img891,MUL-PanSharpen
18,1,MUL-PanSharpen_AOI_2_Vegas_img144.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img144,MUL-PanSharpen
19,1,MUL-PanSharpen_AOI_2_Vegas_img164.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img164,MUL-PanSharpen
20,1,MUL-PanSharpen_AOI_2_Vegas_img1315.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1315,MUL-PanSharpen
21,1,MUL-PanSharpen_AOI_2_Vegas_img316.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img316,MUL-PanSharpen
22,1,MUL-PanSharpen_AOI_2_Vegas_img1232.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1232,MUL-PanSharpen
23,1,MUL-PanSharpen_AOI_2_Vegas_img1458.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1458,MUL-PanSharpen
24,1,MUL-PanSharpen_AOI_2_Vegas_img261.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img261,MUL-PanSharpen
25,1,MUL-PanSharpen_AOI_2_Vegas_img426.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img426,MUL-PanSharpen
26,1,MUL-PanSharpen_AOI_2_Vegas_img642.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img642,MUL-PanSharpen
27,1,MUL-PanSharpen_AOI_2_Vegas_img1523.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1523,MUL-PanSharpen
28,1,MUL-PanSharpen_AOI_2_Vegas_img743.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img743,MUL-PanSharpen
29,1,MUL-PanSharpen_AOI_2_Vegas_img705.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img705,MUL-PanSharpen
30,1,MUL-PanSharpen_AOI_2_Vegas_img199.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img199,MUL-PanSharpen
31,1,MUL-PanSharpen_AOI_2_Vegas_img395.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img395,MUL-PanSharpen
32,1,MUL-PanSharpen_AOI_2_Vegas_img240.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img240,MUL-PanSharpen
33,1,MUL-PanSharpen_AOI_2_Vegas_img1167.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1167,MUL-PanSharpen
34,1,MUL-PanSharpen_AOI_2_Vegas_img1385.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1385,MUL-PanSharpen
35,1,MUL-PanSharpen_AOI_2_Vegas_img487.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img487,MUL-PanSharpen
36,1,MUL-PanSharpen_AOI_2_Vegas_img501.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img501,MUL-PanSharpen
37,1,MUL-PanSharpen_AOI_2_Vegas_img262.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img262,MUL-PanSharpen
38,1,MUL-PanSharpen_AOI_2_Vegas_img1539.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1539,MUL-PanSharpen
39,1,MUL-PanSharpen_AOI_2_Vegas_img189.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img189,MUL-PanSharpen
40,1,MUL-PanSharpen_AOI_2_Vegas_img383.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img383,MUL-PanSharpen
41,1,MUL-PanSharpen_AOI_2_Vegas_img1608.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1608,MUL-PanSharpen
42,1,MUL-PanSharpen_AOI_2_Vegas_img1116.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1116,MUL-PanSharpen
43,0,MUL-PanSharpen_AOI_2_Vegas_img1534.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1534,MUL-PanSharpen
44,1,MUL-PanSharpen_AOI_2_Vegas_img432.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img432,MUL-PanSharpen
45,1,MUL-PanSharpen_AOI_2_Vegas_img1097.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1097,MUL-PanSharpen
46,1,MUL-PanSharpen_AOI_2_Vegas_img229.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img229,MUL-PanSharpen
47,1,MUL-PanSharpen_AOI_2_Vegas_img1349.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1349,MUL-PanSharpen
48,1,MUL-PanSharpen_AOI_2_Vegas_img380.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img380,MUL-PanSharpen
49,1,MUL-PanSharpen_AOI_2_Vegas_img1030.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1030,MUL-PanSharpen
50,1,MUL-PanSharpen_AOI_2_Vegas_img502.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img502,MUL-PanSharpen
51,1,MUL-PanSharpen_AOI_2_Vegas_img700.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img700,MUL-PanSharpen
52,1,MUL-PanSharpen_AOI_2_Vegas_img709.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img709,MUL-PanSharpen
53,1,MUL-PanSharpen_AOI_2_Vegas_img1174.tif,AOI_2_Vegas_Roads_Train,AOI_2_Vegas_img1174,MUL-PanSharpen
